type,line,context
"requestAnimationFrame","10103"," }; }); if($('#dormRuleReload')) $('#dormRuleReload').onclick=()=>refreshDormRulesFromReadonly({rerender:true,silent:false}); $$('[data-dorm-rule-add]').forEach(button=>button.onclick=()=>{const category=button.dataset.dormRuleAdd||'exception';dormRuleEditor();requestAnimationFrame(()=>{const select=$('#dormRuleCategory');if(select)select.value=category;});}); $$('[data-dorm-rule-confirm]').forEach(button=>button.onclick=()=>confirmDormRule(button.dataset.dormRuleConfirm)); $$('[data-dorm-rule-edit]').forEach(button=>button.onclick=()=>dormRuleEditor(button.dataset.dormRuleEdit));"
"requestAnimationFrame","10133"," document.querySelectorAll(""[data-admission-manage-detail]"").forEach(detailButton=>{detailButton.onclick=()=>{const group=detailButton.dataset.admissionGroup;const index=detailButton.dataset.admissionManageDetail;document.querySelector(`#admissionManageDetail-${group}-${index}`)?.classList.toggle(""hidden"");};}); document.querySelectorAll(""[data-admission-manage-filter]"").forEach(filterButton=>{filterButton.onclick=()=>{admissionManagementFilter=filterButton.dataset.admissionManageFilter||""combined"";render(""admissions"");};}); if(window.__focusGrowthStudentId){requestAnimationFrame(()=>{const row=document.querySelector(`[data-growth-student-id=""${CSS.escape(String(window.__focusGrowthStudentId"
"requestAnimationFrame","10179"," $$(`[data-night-class]`).forEach((button) => { button.onclick = () => { nightClassFilter = button.dataset.nightClass || ""1""; render(""attendance""); }; }); const selectedNightDate = document.querySelector('.night-month-matrix th.selected-day'); if (selectedNightDate) requestAnimationFrame(() => selectedNightDate.scrollIntoView({block:'nearest', inline:'center'})); $$(`[data-late-student]`).forEach((button) => { button.onclick = () => {const rid=button.dataset.lateRecordId;if(currentRoleId()===""admin""&&rid){const row=(readonlyCache?.lateAttendance||[]).find(x=>String(x.id)===String(rid));if(row)return openLateAttendanceEditor(row);}openAttendanceHistory(""late"", button.dataset.lateStudent);}; }"
"requestAnimationFrame","10457"," })); $$('[data-dashboard-student-status]').forEach((button) => (button.onclick = (event) => { event.preventDefault(); event.stopPropagation(); openDashboardStudentStatus(button.dataset.dashboardStudentStatus); })); $$('[data-counsel-student]').forEach((button) => (button.onclick = (event) => { event.preventDefault(); event.stopPropagation(); if(studentPageMode==='counsel'){ studentCounselSelectedStudentId=button.dataset.counselStudent||''; render('students'); requestAnimationFrame(()=>document.querySelector('.counsel-right-column')?.scrollIntoView({block:'nearest'})); } else { openDashboardCounselDialog(button.dataset.counselStudent); } })); $$('[data-dashboard-calendar-mode]').forEach((but"
"requestAnimationFrame","11281"," // 공지 제목·내용은 어떤 전역 드래그/단축키 상태와 관계없이 일반 텍스트 입력을 보장한다. [""noticeTitle"",""noticeContent""].forEach(id=>{const el=document.getElementById(id);if(el){el.readOnly=false;el.disabled=false;el.style.pointerEvents='auto';el.style.userSelect='text';}}); requestAnimationFrame(()=>document.getElementById('noticeTitle')?.focus()); $$('[data-notice-target]').forEach(btn=>btn.onclick=()=>{const input=$(""#noticeTargetClass"");if(!input)return;const v=btn.dataset.noticeTarget;if(v==='전체')input.value='전체';else{const current=input.value==='전체'?'':input.value;const parts=[...new Set(current.split(/[,·\s]+/).filter(Boolean).concat(v))];input.value=parts.join(',');}}); const applyKind=()=>{const k=$(""#noticeKind"").va"
"requestAnimationFrame","11973"," } } const obs=new MutationObserver(()=>requestAnimationFrame(refineGrowthProfile)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(refineGrowthProfile,0);"
"requestAnimationFrame","12056"," } const run=()=>{refineGrowth090();refineStatsPrivacy090();}; const obs=new MutationObserver(()=>requestAnimationFrame(run));obs.observe(document.documentElement,{childList:true,subtree:true});setTimeout(run,0); })(); load();"
"requestAnimationFrame","12137"," } const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"requestAnimationFrame","12220"," } const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"requestAnimationFrame","12281"," else list.style.setProperty('overflow-y','auto','important'); } const obs=new MutationObserver(()=>requestAnimationFrame(apply)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',apply);"
"requestAnimationFrame","12297"," }); } const obs=new MutationObserver(()=>requestAnimationFrame(normalizeGoogleConnectionError)); obs.observe(document.documentElement,{childList:true,subtree:true,characterData:true}); setTimeout(normalizeGoogleConnectionError,250);"
"requestAnimationFrame","12337"," if(actions)actions.appendChild(button);else{const wrap=document.createElement('div');wrap.className='connection-actions';wrap.style.marginTop='12px';wrap.appendChild(button);drawer.appendChild(wrap);} } const obs=new MutationObserver(()=>requestAnimationFrame(enhance));obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(enhance,300); })();"
"requestAnimationFrame","12399"," drawer.appendChild(note); } const obs=new MutationObserver(()=>requestAnimationFrame(annotateGoogleConnection)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(annotateGoogleConnection,350);"
"requestAnimationFrame","12453","} (function(){ const enhance=()=>{document.querySelectorAll('h1,h2,h3').forEach(h=>{if(/프로그램추천|프로그램 추천/.test(h.textContent||'')){const root=h.closest('section,main,div');if(root&&!root.querySelector('[data-growth-program-guide]')){const n=document.createElement('div');n.dataset.growthProgramGuide='1';n.className='growth-program-guide';n.innerHTML='<b>학생 성장 근거 기반 프로그램 추천</b><span>단순히 SDG 빈칸을 채우는 추천이 아닙니다. 학생들의 진로·탐구·공동체·사회문제 경험과 유네스코 지속가능발전교육의 관점을 함께 분석하여 학교교육과정에서 보완할 경험을 제안합니다.</span>';root.insertBefore(n,h.nextSibling);}}});};new MutationObserver(()=>requestAnimationFrame(enhance)).observe(document.documentElement,{subtree:true,childList:true});setTimeout(enhance,500); })(); // __UEP_AUTOLO"
