"build","check"
"build-update-0.81.04.ps1","science hierarchy"
"build-update-0.81.04.ps1","language continuity"
"build-update-0.81.04.ps1","arts continuity"
"build-update-0.81.04.ps1","rank and grade"
"build-update-0.81.04.ps1","section estimate"
"build-update-0.81.04.ps1","sms correction"
"build-update-0.81.04.ps1","sdgs page"
"build-update-0.81.04.ps1","recordcheck page"
"build-update-0.81.04.ps1","recordcheck separated"
"build-update-0.81.04.ps1","no readonly gateway"
"build-update-0.81.05.ps1","version 0.81.05"
"build-update-0.81.05.ps1","four semesters"
"build-update-0.81.05.ps1","curriculum integration"
"build-update-0.81.05.ps1","class student history"
"build-update-0.81.05.ps1","all subject roster"
"build-update-0.81.05.ps1","duplicate across terms"
"build-update-0.81.05.ps1","SDGs supplement"
"build-update-0.81.05.ps1","recordcheck standalone"
"build-update-0.81.05.ps1","selection nav removed"
"build-update-0.81.05.ps1","sdgs nav removed"
"build-update-0.81.05.ps1","NEIS UTF8"
"build-update-0.81.06.ps1","version 0.81.06"
"build-update-0.81.07.ps1","version 0.81.07"
"build-update-0.81.07.ps1","all class first"
"build-update-0.81.07.ps1","query switch top"
"build-update-0.81.07.ps1","student picker inside filter"
"build-update-0.81.07.ps1","error first"
"build-update-0.81.07.ps1","error subject color"
"build-update-0.81.07.ps1","four term row"
"build-update-0.81.07.ps1","expected grade column"
"build-update-0.81.07.ps1","legacy SDGs map removed"
"build-update-0.81.07.ps1","record rule manager"
"build-update-0.81.07.ps1","record merged subject carry"
"build-update-0.81.07.ps1","record student number restore"
"build-update-0.81.08.ps1","version 0.81.08"
"build-update-0.81.08.ps1","dorm save recovery"
"build-update-0.81.08.ps1","dorm duplicate guard"
"build-update-0.81.08.ps1","supervisor grouped report"
"build-update-0.81.08.ps1","supervisor email same body"
"build-update-0.81.08.ps1","attendance exact type"
"build-update-0.81.08.ps1","homeroom student counsel cards"
"build-update-0.81.08.ps1","NEIS fixed parser"
"build-update-0.81.08.ps1","NEIS merged carry"
"build-update-0.81.08.ps1","NEIS student number"
"build-update-0.81.08.ps1","NEIS deduplicate pages"
"build-update-0.81.08.ps1","NEIS individual filter"
"build-update-0.81.09.ps1","version 0.81.09"
"build-update-0.81.09.ps1","risky dashboard override removed"
"build-update-0.81.09.ps1","NEIS fixed parser retained"
"build-update-0.81.09.ps1","NEIS individual filter retained"
"build-update-0.81.09.ps1","supervisor grouped report retained"
"build-update-0.81.10.ps1","version 0.81.10"
"build-update-0.81.10.ps1","legacy selection map removed"
"build-update-0.81.10.ps1","legacy capture removed"
"build-update-0.81.10.ps1","curriculum fallback present"
"build-update-0.81.10.ps1","NEIS fixed parser retained"
"build-update-0.81.10.ps1","supervisor grouped report retained"
"build-update-0.81.11.ps1","version 0.81.11"
"build-update-0.81.11.ps1","selection integrated"
"build-update-0.81.11.ps1","sdgs integrated"
"build-update-0.81.11.ps1","recordcheck safe"
"build-update-0.81.11.ps1","no direct legacy view refs"
"build-update-0.81.11.ps1","NEIS fixed parser retained"
"build-update-0.81.12.ps1","version 0.81.12"
"build-update-0.81.12.ps1","legacy binder call removed"
"build-update-0.81.12.ps1","curriculum direct binding"
"build-update-0.81.12.ps1","sdgs supplement binding"
"build-update-0.81.12.ps1","recordcheck mount view"
"build-update-0.81.12.ps1","recordcheck mount implementation"
"build-update-0.81.12.ps1","NEIS fixed parser retained"
"build-update-0.81.13.ps1","version 0.81.13"
"build-update-0.81.13.ps1","no 06A source text"
"build-update-0.81.13.ps1","no document-wide mutation observer"
"build-update-0.81.13.ps1","no promoteSdgs mutation observer"
"build-update-0.81.13.ps1","no SDGs full-section microtask scan"
"build-update-0.81.13.ps1","selection dataset body"
"build-update-0.81.13.ps1","selection dataset cache"
"build-update-0.81.13.ps1","curriculum final body"
"build-update-0.81.13.ps1","curriculum student body"
"build-update-0.81.13.ps1","curriculum subject body"
"build-update-0.81.13.ps1","SDGs live body"
"build-update-0.81.13.ps1","recordcheck mount exists"
"build-update-0.81.13.ps1","recordcheck page exists"
"build-update-0.81.13.ps1","selection source current"
"build-update-0.81.14.ps1","version 0.81.14"
"build-update-0.81.14.ps1","record main tab delegate"
"build-update-0.81.14.ps1","curriculum body retained"
"build-update-0.81.14.ps1","SDGs body retained"
"build-update-0.81.14.ps1","record parser 4-digit priority"
"build-update-0.81.14.ps1","record parser number field"
"build-update-0.81.14.ps1","record parser subject guard"
"build-update-0.81.14.ps1","recordcheck retained"
"build-update-0.81.15.ps1","version 0.81.15"
"build-update-0.81.15.ps1","active selection rows helper"
"build-update-0.81.15.ps1","dorm helper"
"build-update-0.81.15.ps1","term subjects helper"
"build-update-0.81.15.ps1","grade average helper"
"build-update-0.81.15.ps1","expected grade helper"
"build-update-0.81.15.ps1","selection errors helper"
"build-update-0.81.15.ps1","SDGs supplement helper"
"build-update-0.81.15.ps1","curriculum body"
"build-update-0.81.15.ps1","SDGs body"
"build-update-0.81.15.ps1","tab delegate"
"build-update-0.81.15.ps1","record parser refined"
"build-update-0.81.16.ps1","version 0.81.16"
"build-update-0.81.16.ps1","selection SMS helper"
"build-update-0.81.16.ps1","curriculum body"
"build-update-0.81.16.ps1","curriculum dependencies"
"build-update-0.81.16.ps1","SDGs body"
"build-update-0.81.16.ps1","strict class header"
"build-update-0.81.16.ps1","no positional class fallback"
"build-update-0.81.16.ps1","explicit section parse"
"build-update-0.81.16.ps1","class range guard"
"build-update-0.81.16.ps1","recordcheck retained"
