"kind","line","snippet"
"setTimeout","3918","layer.querySelectorAll('[data-guidance-close]').forEach(b=>b.onclick=closeGuidance);layer.onclick=e=>{if(e.target===layer)closeGuidance();}; layer.querySelector('#studentGuidanceForm').onsubmit=async e=>{e.preventDefault();const id=studentSelect.value,student=students.find(st=>String(st.id||st.studentNo||'')===String(id));if(!student)return toast('학생을 선택해 주세요.');const memo=layer.querySelector('#studentGuidanceMemo').value.trim();if(!memo)return toast('지도 내용을 입력해 주세요.');const payload={studentId:String(student.id||''),studentNo:String(student.studentNo||''),name:String(student.name||''),grade:String(student.grade||'1'),className:String(classNumberOf(student)||''),number:String(student.number||''),guidanceDate:String(layer.querySelector('#studentGuidanceDate').value||todayValue),memo,writer:String(currentLoginTeacherName()||currentUser?.name||roleName(currentRoleId())||''),status:'기록'};const saveBtn=layer.querySelector('button[type=""submit""]');saveBtn.disabled=true;saveBtn.textContent='저장 중…';try{const result=await window.schoolBoard?.saveStudentGuidanceRecord?.(payload);if(!result?.ok)throw new Error(result?.reason||'학생지도 기록 저장 실패');readonlyCache.studentGuidanceRecords=Array.isArray(readonlyCache.studentGuidanceRecords)?[result.record,...readonlyCache.studentGuidanceRecords]:[result.record];layer.remove();toast(`${student.studentNo} ${student.name} 학생지도 기록을 저장했습니다.`);}catch(error){saveBtn.disabled=false;saveBtn.textContent='지도 기록 저장';toast(error?.message||'학생지도 기록 저장에 실패했습니다.');}}; setTimeout(()=>classSelect?.focus(),30); } function openIssueReportDialog(){"
"setTimeout","3928","layer.onclick=e=>{if(e.target===layer)layer.remove();}; layer.querySelector('#issueReportForm').onsubmit=async e=>{e.preventDefault();state.issueReports.unshift({id:`ISS-${Date.now()}`,createdAt:new Date().toISOString(),reporter:roleName(currentRoleId()),page:layer.querySelector('#issuePage').value.trim(),type:layer.querySelector('#issueType').value,description:layer.querySelector('#issueDescription').value.trim(),steps:layer.querySelector('#issueSteps').value.trim(),version:APP_VERSION,status:'new',adminNote:'',updatedAt:''});await save();layer.remove();toast('오류 신고를 이 PC에 저장했습니다. 관리자 화면에서 확인할 수 있습니다.');if(state.activePage==='settings')render('settings');}; setTimeout(()=>layer.querySelector('#issueDescription')?.focus(),30); } function openIssueManager(){"
"setTimeout","4443","scorePeriod=""all""; render(""scores""); setTimeout(()=>{ const scope=$(""#scoreScope""),classSelect=$(""#scoreClass""),studentSelect=$(""#scoreStudent""); if(scope)scope.value=""individual"";"
"setTimeout","6822","link.download = `${fileName.replace(/[\\/:*?""<>|]/g, ""_"")}.doc`; link.click(); setTimeout(() => URL.revokeObjectURL(link.href), 1000); }"
"setTimeout","8157","}finally{__uepDashboardCounselBuildScheduled=false;} }; if(typeof requestIdleCallback==='function')requestIdleCallback(runner,{timeout:900}); else setTimeout(runner,30); } function dashboardCounselMarkup(){"
"setTimeout","8933","const rows=week.map((row,index)=>`<tr><th><b>${index+1}</b><small>${escapeHtml(periodTimeLabel(index+1)).replace(""~"",""<br>~<br>"")}</small></th>${row.map(cell=>{const [subject,room]=cell.split(""|"");return `<td>${subject===""-""?""<span>-</span>"":`<b>${escapeHtml(room||""교실 미등록"")}</b><small>${escapeHtml(subject)}</small>`}</td>`;}).join("""")}</tr>`).join(""""); const card=`<section class=""ticket""><header><div><b>개인 시간표</b><small>${escapeHtml(teacher)}</small></div><span>UEP</span></header><table><thead><tr><th>교시</th>${days.map(day=>`<th>${escapeHtml(day).replace(/\(.+\)/,"""")}</th>`).join("""")}</tr></thead><tbody>${rows}</tbody></table><footer>${new Date().toLocaleDateString(""ko-KR"")} 기준</footer></section>`; popup.document.write(`<!doctype html><html lang=""ko""><head><meta charset=""utf-8""><title>개인 시간표 · A4 6매</title><style>*{box-sizing:border-box}html,body{margin:0;background:#eef3f6;color:#17354b;font-family:""Malgun Gothic"",sans-serif}.print-tools{position:sticky;top:0;z-index:5;display:flex;align-items:center;justify-content:space-between;padding:12px 18px;background:#fff;border-bottom:1px solid #d6e1e8}.print-tools b{font-size:15px}.print-tools span{font-size:12px;color:#687e90}.print-tools button{border:0;border-radius:9px;padding:9px 16px;background:#287f83;color:#fff;font-weight:800}.sheet{width:210mm;min-height:297mm;margin:12px auto;padding:7mm;display:grid;grid-template-columns:repeat(2,1fr);grid-template-rows:repeat(3,1fr);gap:4mm;background:#fff;box-shadow:0 8px 30px rgba(20,45,64,.15)}.ticket{min-width:0;min-height:0;padding:3.5mm;border:1px dashed #9fb2c0;border-radius:3mm;display:flex;flex-direction:column;background:linear-gradient(180deg,#f7fbfd,#fff)}.ticket header{display:flex;align-items:center;justify-content:space-between;margin-bottom:2mm}.ticket header b,.ticket header small{display:block}.ticket header b{font-size:10pt}.ticket header small{font-size:7pt;color:#638096;margin-top:.5mm}.ticket header span{padding:1mm 2mm;border-radius:2mm;background:#dff4ee;color:#267c70;font-size:7pt;font-weight:900}.ticket table{width:100%;height:100%;border-collapse:collapse;table-layout:fixed}.ticket th,.ticket td{border:1px solid #b9cad5;text-align:center;vertical-align:middle;padding:.5mm;overflow:hidden}.ticket thead th{height:6mm;background:#dfeef5;font-size:7pt}.ticket thead th:first-child{width:12mm}.ticket tbody th{background:#f3f7fa}.ticket tbody th b{display:block;font-size:8pt;line-height:1}.ticket tbody th small{display:block;margin-top:.5mm;font-size:4.8pt;line-height:1.05;color:#637d90;white-space:normal}.ticket td b{display:block;font-size:7.2pt;line-height:1.05;word-break:keep-all}.ticket td small{display:block;margin-top:.6mm;font-size:5.6pt;color:#68869a}.ticket td span{font-size:7pt;color:#a2b0ba}.ticket footer{padding-top:1mm;text-align:right;font-size:5.5pt;color:#8395a4}@page{size:A4 portrait;margin:0}@media print{html,body{background:#fff}.print-tools{display:none}.sheet{margin:0;box-shadow:none;break-inside:avoid}}</style></head><body><div class=""print-tools""><div><b>교과서 부착용 개인 시간표</b><span> · A4 한 장에 6매</span></div><button onclick=""window.print()"">인쇄</button></div><main class=""sheet"">${Array.from({length:6},()=>card).join("""")}</main><script>window.onload=()=>setTimeout(()=>window.print(),300)<\/script></body></html>`); popup.document.close(); }"
"setTimeout","9936","if(page===""recordcheck"")requestAnimationFrame(()=>{const mount=document.getElementById(""standaloneRecordcheckMount"");if(mount&&window.uepMountRecordbookValidator)window.uepMountRecordbookValidator(mount);}); $$('[data-student-page-mode]').forEach(button=>button.onclick=()=>{studentPageMode=button.dataset.studentPageMode||""list"";render(""students"");window.scrollTo(0,0);}); $$('[data-student-counsel-history]').forEach(button=>button.onclick=()=>{const id=button.dataset.studentCounselHistory;selectedStudentId=id;const idx=(readonlyCache?.students||[]).findIndex(s=>String(s.id)===String(id));if(idx>=0)studentDashboardIndex=idx;studentPageMode='dashboard';render('students');requestAnimationFrame(()=>setTimeout(()=>openCounselSidePanel(id),80));}); $$('[data-student-counsel-class]').forEach(button=>button.onclick=()=>{const next=String(button.dataset.studentCounselClass||'');studentCounselClassFilter=String(studentCounselClassFilter)===next?'':next;studentPageMode='counsel';render('students');window.scrollTo(0,0);}); $$('[data-student-stats-class]').forEach(button=>button.onclick=()=>{studentStatsClassFilter=button.dataset.studentStatsClass||'all';render('students');window.scrollTo(0,0);});"
"setTimeout","10003","if(window.__uepPendingCounselStudentId && String(window.__uepPendingCounselStudentId)===String((readonlyCache?.students||[])[studentDashboardIndex]?.id||'')){ const pendingId=window.__uepPendingCounselStudentId;window.__uepPendingCounselStudentId=''; setTimeout(()=>openCounselSidePanel(pendingId),120); } });"
"setTimeout","10771","button.onpointerdown = (event) => { if (event.pointerType === ""mouse"" && event.button !== 0) return; timer = setTimeout(() => { active = button; button.dataset.suppressClick = ""1"";"
"setTimeout","11020","function exportReportExcel(report,student){ const responses=(report.responses||[]); const rows=[[""프로그램명"",report.programName||""""],[""학생"",`${report.studentNo||student?.studentNo||""""} ${report.name||student?.name||""""}`],[""구분"",report.kind||""""],[""최종제출일(차수)"",reportSubmissionLabel(report)],[""매칭상태"",report.matchStatus||""""],[],[""문항"",""응답""],...responses.map((value,index)=>[report.questions?.[index]||reportQuestionLabel(index),value||""""])]; const table=`<table>${rows.map(row=>`<tr>${row.map(cell=>`<td>${xmlEscape(cell)}</td>`).join("""")}</tr>`).join("""")}</table>`; const blob=new Blob([`\ufeff<html><head><meta charset=""utf-8""></head><body>${table}</body></html>`],{type:""application/vnd.ms-excel;charset=utf-8""}); const link=document.createElement(""a""); link.href=URL.createObjectURL(blob); link.download=`${safeFileName(`${report.studentNo||student?.studentNo||""""}_${report.programName||""학생보고서""}`)}.xls`; link.click(); setTimeout(()=>URL.revokeObjectURL(link.href),1000); } async function copyProgramRiroNotice(program){"
"setTimeout","11084","const rowXml=(cells)=>`<Row>${cells.map(cell=>`<Cell><Data ss:Type=\""String\"">${xmlEscape(cell)}</Data></Cell>`).join("""")}</Row>`; const xml=`<?xml version=\""1.0\""?><Workbook xmlns=\""urn:schemas-microsoft-com:office:spreadsheet\"" xmlns:ss=\""urn:schemas-microsoft-com:office:spreadsheet\""><Worksheet ss:Name=\""출석부\""><Table>${meta.map(rowXml).join("""")}<Row></Row>${rowXml([""번호"",""학번"",""이름"",""반"",""출석"",""비고""])}${rows.map(rowXml).join("""")}</Table></Worksheet></Workbook>`; const blob=new Blob([""\ufeff"",xml],{type:""application/vnd.ms-excel""}); const url=URL.createObjectURL(blob); const a=document.createElement(""a""); a.href=url; a.download=`${safeFileName(program.actualTitle||program.title)}_출석부.xls`; document.body.appendChild(a); a.click(); a.remove(); setTimeout(()=>URL.revokeObjectURL(url),1000); toast(""출석부 Excel 파일을 생성했습니다.""); }"
"setTimeout","11606","$(""#taskDate"").value = dateKey(today); $(""#modalBackdrop"").classList.remove(""hidden""); setTimeout(() => $(""#taskTitle"").focus(), 30); } function closeModal() {"
"setTimeout","11636","if ($(""#quickSearchButton"")) $(""#quickSearchButton"").onclick = () => { navigate(""students""); setTimeout(() => $("".search"")?.focus(), 50); }; $(""#quickAdd"")?.addEventListener(""click"", openModal);"
"setTimeout","11975","const obs=new MutationObserver(()=>requestAnimationFrame(refineGrowthProfile)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(refineGrowthProfile,0); })();"
"setTimeout","12056","} const run=()=>{refineGrowth090();refineStatsPrivacy090();}; const obs=new MutationObserver(()=>requestAnimationFrame(run));obs.observe(document.documentElement,{childList:true,subtree:true});setTimeout(run,0); })(); load();"
"setTimeout","12061","const scheduleWeatherLoad = () => loadWeather(); if ('requestIdleCallback' in window) requestIdleCallback(scheduleWeatherLoad, { timeout: 1800 }); else setTimeout(scheduleWeatherLoad, 900); // UEP 0.80.66 - 빠른열기 결재라인 팝업 안전 범위 UI 보정"
"setTimeout","12140","obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix); setTimeout(applyFix,250); })(); // UEP 0.80.67 - 빠른열기 결재라인 카드 높이/줄바꿈 보정"
"setTimeout","12223","obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix); setTimeout(applyFix,250); })(); // UEP 0.80.68 - 빠른열기 결재라인 왼쪽 카드 직접 보정"
"setTimeout","12284","obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',apply); setTimeout(apply,200); })(); // __UEP_GOOGLE_STATUS_UI_08069__"
"setTimeout","12299","const obs=new MutationObserver(()=>requestAnimationFrame(normalizeGoogleConnectionError)); obs.observe(document.documentElement,{childList:true,subtree:true,characterData:true}); setTimeout(normalizeGoogleConnectionError,250); })(); // __UEP_GOOGLE_OAUTH_UI_08070__"
"setTimeout","12338","} const obs=new MutationObserver(()=>requestAnimationFrame(enhance));obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(enhance,300); })(); // UEP 0.80.79 selection-course identity/comparison helpers."
"setTimeout","12401","const obs=new MutationObserver(()=>requestAnimationFrame(annotateGoogleConnection)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(annotateGoogleConnection,350); })(); // __UEP_EVIDENCE_GROWTH_08082__"
"setTimeout","12453","} (function(){ const enhance=()=>{document.querySelectorAll('h1,h2,h3').forEach(h=>{if(/프로그램추천|프로그램 추천/.test(h.textContent||'')){const root=h.closest('section,main,div');if(root&&!root.querySelector('[data-growth-program-guide]')){const n=document.createElement('div');n.dataset.growthProgramGuide='1';n.className='growth-program-guide';n.innerHTML='<b>학생 성장 근거 기반 프로그램 추천</b><span>단순히 SDG 빈칸을 채우는 추천이 아닙니다. 학생들의 진로·탐구·공동체·사회문제 경험과 유네스코 지속가능발전교육의 관점을 함께 분석하여 학교교육과정에서 보완할 경험을 제안합니다.</span>';root.insertBefore(n,h.nextSibling);}}});};new MutationObserver(()=>requestAnimationFrame(enhance)).observe(document.documentElement,{subtree:true,childList:true});setTimeout(enhance,500); })(); // __UEP_AUTOLOGIN_WATCHDOG_08083__"
"setTimeout","12471","}catch{clearInterval(timer);} },350); setTimeout(()=>clearInterval(timer),12000); })(); // __UEP_RENDER_HARD_RECOVERY_08086__"
"setTimeout","12492","if(host && String(host.innerHTML||'').trim()) return; }catch(error){console.error('[UEP] render recovery watchdog',error);} if(tries<5)setTimeout(recover,900); }; setTimeout(recover,700);"
"setTimeout","12494","if(tries<5)setTimeout(recover,900); }; setTimeout(recover,700); })(); const __uepFinalStyle090=document.createElement('style');__uepFinalStyle090.textContent=""/* __UEP_FINAL_UI_08090__ */\r\n.selection-compare-panel.compact-089{display:none!important}\r\n.selection-result-090,.selection-validation-090{width:100%!important;margin:8px 0!important;padding:12px 14px!important;border-radius:14px!important}\r\n.selection-result-090 header,.selection-validation-090 header{display:flex;justify-content:space-between;align-items:center;margin-bottom:8px}\r\n.selection-result-grid-090{display:grid;grid-template-columns:repeat(2,minmax(0,1fr));gap:8px}.selection-result-grid-090 article{border:1px solid #dbe7e4;border-radius:11px;padding:10px}.selection-result-grid-090 article>div{display:grid;grid-template-columns:70px 1fr;gap:6px;margin-top:6px}.selection-result-grid-090 p{margin:0}.selection-result-grid-090 p span{display:inline-block;margin:0 5px 3px 0}.selection-validation-090 details{display:block!important}.selection-validation-090 summary{display:none!important}\r\n.growth-profile-v082 .growth-profile-intro{display:grid!important;grid-template-columns:minmax(0,1.35fr) minmax(360px,.9fr)!important;gap:22px!important;align-items:start!important}.growth-guide-open-090{border-left:1px solid #cfe2dd;padding-left:20px}.growth-guide-open-090>b{display:inline-block;background:#e5f5ee;color:#147664;border-radius:999px;padding:8px 12px;margin-bottom:8px}.growth-guide-open-090 h4{margin:2px 0 8px;color:#176f63;font-size:14px}.growth-guide-open-090 p{font-size:12px!important;line-height:1.55!important;margin:0 0 7px!important}.growth-guide-open-090 em{display:block;background:#fff4d7;border-radius:10px;padding:7px 9px;color:#88621d;font-style:normal;font-size:11px}\r\n.growth-story-card.merged-090{padding:14px 18px!important}.growth-story-card.merged-090 .growth-axis-grid{margin-top:12px!important;display:grid!important;grid-template-columns:repeat(4,minmax(0,1fr))!important;gap:8px!important}.growth-story-card.merged-090 .growth-axis-grid>*{padding:10px!important;min-height:0!important}\r\n.growth-sdg-empty-089{display:none!important}.growth-sdg-lens .growth-sdg-grid{display:grid!important;grid-template-columns:repeat(4,minmax(0,1fr))!important;gap:10px!important;align-items:start!important}.growth-sdg-lens .growth-sdg-chip{height:auto!important;min-height:90px!important;padding:11px!important;cursor:default!important}.growth-sdg-chip .inline-evidence-090{display:block!important;position:static!important;margin-top:9px!important;padding-top:8px!important;border-top:1px solid #dce7e4!important;max-height:none!important;overflow:visible!important}.growth-sdg-chip .inline-evidence-090>*{display:block!important;margin:4px 0!important}\r\n@media(max-width:1100px){.growth-profile-v082 .growth-profile-intro{grid-template-columns:1fr!important}.growth-guide-open-090{border-left:0;border-top:1px solid #cfe2dd;padding:10px 0 0}.growth-sdg-lens .growth-sdg-grid{grid-template-columns:repeat(2,minmax(0,1fr))!important}}"";document.head.appendChild(__uepFinalStyle090);"
