"name","line","refs","snippet"
"counselRecordLabel","4780","1","return `<div class=""admission-manage-note growth-note""><b>${standard.name} 성장관리 기준</b> · 내신과 모의고사 기준을 함께 충족하면 핵심관리, 양쪽에 근거가 있으나 모의 일부기준만 충족하면 성장관리, 내신 또는 모의 한 종류만 충족하면 관심관리로 분류합니다. 내신은 실제 9등급 평균 ${standard.internal} 이내와 동일한 5등급 평균 그룹을 보호대상으로 포함합니다.</div>${filters}<div class=""admission-manage-summary""><span><b>${rows.length}</b><small>${stageLabel}</small></span><span><b>${rows.filter(x=>x.groupExpanded).length}</b><small>동일 5등급 그룹 포함</small></span><span><b>${rows.filter(x=>x.mockCore).length}</b><small>모의 핵심기준 충족</small></span><span><b>${rows.filter(x=>x.prep.after||x.prep.night||x.prep.selected).length}</b><small>학습·프로그램 이력</small></span><span><b>${rows.filter(x=>!x.prep.night&&!x.prep.after).length}</b><small>심화학습 추천 검토</small></span></div><div class=""data-card""><div class=""data-head admission-manage-grid""><span>학번</span><span>학생</span><span>반</span><span>관리단계</span><span>내신(5/9등급)</span><span>최근 모의고사</span><span>선정 이유</span><span>관리</span></div>${rows.map((x,i)=>`<div class=""data-row admission-manage-grid growth-row"" data-growth-student-id=""${escapeHtml(x.student.id||'')}""><b>${escapeHtml(x.student.studentNo)}</b><span>${escapeHtml(x.student.name)}</span><span>${escapeHtml(/반$/.test(String(x.student.className||''))?x.student.className:`${x.student.className||''}반`)}</span><span><em class=""management-stage stage-${x.stage}"">${stageName[x.stage]}</em></span><span class=""admission-grade-pair""><b>${x.base.avg5==null?'-':x.base.avg5.toFixed(2)} <small>5등급</small></b><strong>${x.base.actual9==null?'-':x.base.actual9.toFixed(2)} <small>9등급</small></strong><em class=""${x.directInternalOk?'direct':x.groupExpanded?'expanded':'not-met'}"">${x.directInternalOk?'직접 기준':x.groupExpanded?'동일그룹':'추이관찰'}</em></span><span><b>${escapeHtml(x.mock.exam||'-')}</b><small>${escapeHtml(x.mock.detail||'자료 없음')}</small><em class=""${x.mockCore?'mock-ok':'mock-no'}"">${x.mockCore?'핵심기준':'성장 가능성 확인'}</em></span><span class=""management-reasons"">${x.reasons.slice(0,2).map(r=>`<small>✓ ${escapeHtml(r)}</small>`).join('')}</span><button class=""btn secondary"" data-admission-manage-detail=""${i}"" data-admission-group=""${group}"">상세</button></div><div class=""admission-manage-detail hidden"" id=""admissionManageDetail-${group}-${i}""><b>추천 이유</b> · ${x.reasons.map(escapeHtml).join(' · ')}<br><b>관리 포인트</b> · ${x.managePoints.map(escapeHtml).join(' · ')}<br><b>운영 원칙</b> · 이 단계는 합격 예측이 아니라 상담·프로그램 추천·성적 추적의 우선순위입니다.</div>`).join('')||'<div class=""query-empty""><b>해당 관리단계의 학생이 없습니다.</b><span>다른 관리단계를 선택하거나 성적 연결 상태를 확인하세요.</span></div>'}</div>`; } function counselRecordLabel(row){ return '상담 메모';"
"recordAreaPanel","5125","1","return {programs,reports}; } function recordAreaPanel(student,bundle,area,label){ const collection=recordAreaCollection(student,bundle,area); const programIds=new Set(collection.programs.map(p=>String(p.programId||p.id||"""").replace(/^common-|^selected-|^after-session-/,"""")));"
"autoInferCareerDatesForClass","5292","1","} } async function autoInferCareerDatesForClass(student,bundle){ if(recordCareerAutoRunning||!student||recordWriterArea!==""career"")return; const programs=(bundle?.programs||[]).filter(p=>p.kind===""common""&&recordProgramArea(p)===""career"");"
"dateDistanceDays","5335","1","return /진로|진로와직업/.test(s)?""career"":""""; } function dateDistanceDays(a,b){ const x=new Date(`${a}T12:00:00`),y=new Date(`${b}T12:00:00`); return Math.abs(Math.round((x-y)/86400000));"
"careerDateEditor","5428","1","localStorage.setItem(recordCareerDateKey(activityId,classNo),JSON.stringify(value));return value; } function careerDateEditor(program,student){ if(recordProgramArea(program)!==""career""||program.kind!==""common"")return """"; const value=recordDateStatus(program,student);"
"extractRecordCore","5524","1","return p.recordTitle||p.actualTitle||p.title||row.title||row.report?.programName||""프로그램""; } function extractRecordCore(row){ const raw=recordEvidenceText(row).replace(/\s+/g,"" "").trim(); const responses=row.report?.responses||[];"
"normalizeRecordEnding","5534","1","return [...new Set(sentences.map(x=>x.replace(/^(나는|제가|저는|학생은)\s*/,"""")))].slice(0,3).join("" ""); } function normalizeRecordEnding(text){ let out=String(text||"""").replace(/\s+/g,"" "").trim(); out=out.replace(/나는|제가|저는/g,""학생은"").replace(/재미있었|신기했|좋았/g,""관심을 보였"");"
"recordEvidenceSignals","5540","1","return out; } function recordEvidenceSignals(row,area){ const responses=(row.report?.responses||[]).map(v=>String(v||"""").replace(/\s+/g,"" "").trim()).filter(Boolean); const text=responses.join("" "");"
"sdgsEvidenceForGoal","5697","1","return advice.length?advice:[""현재 보고서에 활동 과정·역할·성장이 비교적 잘 드러남""]; } function sdgsEvidenceForGoal(rows,no){ const meta=SDG_CATALOG.find(x=>x[0]===Number(no));if(!meta)return []; const rx=new RegExp(meta[2].source,""gi"");"
"stripProgramDatesFromRecordText","5923","1","</div>`; } function stripProgramDatesFromRecordText(value){ return String(value||"""") .replace(/\s*[（(]?(?:20\d{2}[.\-/년]\s*)?\d{1,2}[.\-/월]\s*\d{1,2}(?:일)?[）)]?/g,"" "")"
"programTopTabs","6177","1","return month?`${year}-${String(month).padStart(2,""0"")}`:""""; } function programTopTabs() { const tab=(mode,label)=>`<button data-program-mode=""${mode}"" class=""${programMode===mode?""active"":""""}"">${label}</button>`; return `<div class=""program-sticky-tabs"">${tab(""common"",""공통활동"")}${tab(""selected"",""선택활동"")}${tab(""after"",""방과후학교"")}${tab(""planning"",""프로그램 기획센터"")}</div>`;"
"formatTaskCompletedAt","6860","1","return weekdayNo===3?5:([1,2,4,5].includes(weekdayNo)?7:0); } function formatTaskCompletedAt(value){ if(!value)return """"; const date=new Date(value);"
"fixedTeacherTimetableReference","6958","1","return subject?{subject,room,changed:Boolean(cell.isChanged||cell.changed||cell.changeInfo),changeInfo:cell.changeInfo||""""}:null; } function fixedTeacherTimetableReference(teacher){ if(String(teacher||"""").trim()!==""홍석민"")return null; const week=Array.from({length:7},()=>Array(5).fill(""""));"
"homeroomWeekMarkup","7114","1","return `<div class=""module-page timetable-page""><div class=""timetable-tabs timetable-tabs-four"">${tabs.map((tab) => `<button class=""${state.timetableTab === tab[0] ? ""active"" : """"}"" data-timetable-tab=""${tab[0]}""><b>${tab[1]}</b><small>${tab[2]}</small></button>`).join("""")}</div>${content}</div>`; } function homeroomWeekMarkup() { return `<div class=""connection-guide""><span>NEIS</span><h3>학급시간표를 조회하세요</h3><p>정적 예시 시간표는 제거했습니다. 실제 학년·반을 선택한 NEIS 자료만 표시합니다.</p><button class=""btn primary"" data-reference=""homeroom-timetable"">학급 시간표 조회</button></div>`;"
"safeWidget","7168","1","return `<article class=""card widget-configurable widget-error-card"" ${widgetAttrs(key)}><div class=""card-head""><div><span class=""card-icon ci-coral"">!</span><strong>${escapeHtml(title)}</strong></div><button data-widget-settings=""${key}"">⚙</button></div><div class=""widget-empty""><span>!</span><b>이 위젯만 불러오지 못했습니다</b><small>${escapeHtml(message)}</small><button data-widget-retry=""${key}"">다시 시도</button></div></article>`; } function safeWidget(key, title, renderer) { try { return renderer(); }"
"dashboardTodayLessonsMarkup","7173","1","catch (error) { console.error(`widget:${key}`, error); return widgetErrorCard(key, title, error?.message || String(error)); } } function dashboardTodayLessonsMarkup() { const {week,days}=personalTimetableData();"
"dashboardSelectedDayMarkup","7201","1","return `<div class=""uep-mini-cal-head""><button data-dashboard-month-shift=""-1"" aria-label=""이전 달"">‹</button><b>${y}년 ${m+1}월</b><button data-dashboard-month-shift=""1"" aria-label=""다음 달"">›</button><button data-dashboard-month-today>오늘</button></div><div class=""uep-mini-cal""><div class=""sunday"">일</div><div>월</div><div>화</div><div>수</div><div>목</div><div>금</div><div class=""saturday"">토</div>${cells}</div>`; } function dashboardSelectedDayMarkup(){ const key=dashboardSelectedDate||dateKey(today);"
"currentUserOvertimeTasks","7222","1","$$(""#drawerBody [data-dashboard-calendar-full]"").forEach(button=>button.onclick=()=>{calendarSelectedDate=button.dataset.dashboardCalendarTarget||key;state.calendarMode=button.dataset.dashboardCalendarFull||""month"";calendarHubMode=""schedule"";closeDrawer();navigate(""calendar"");}); } function currentUserOvertimeTasks(){ const person=currentLoginTeacherName();"
"dashboardCompactTasksMarkup","7252","1","return overtime.filter((item,index,array)=>array.findIndex(other=>other.source===item.source)===index); } function dashboardCompactTasksMarkup(){ const projectTasks=(state.tasks||[]).filter(task=>task&&task.project===""UEP"").sort((a,b)=>Number(a.order||999)-Number(b.order||999));"
"dashboardCompactNoticesMarkup","7274","1","return `<div class=""uep-simple-list"">${list.length?list.map((p,i)=>`<button ${p.kind===""calendar-first-grade""?`data-school-event=""${escapeHtml(p.id)}""`:p.kind===""after""?`data-after-program=""${escapeHtml(p.id)}""`:`data-program=""${escapeHtml(p.id)}""`}><i>${String(p.time||""종일"").slice(0,5)}</i><span><b>${escapeHtml(p.actualTitle||p.title||""프로그램"")}</b><small>${escapeHtml(p.place||p.department||""장소 확인"")}</small></span><em>›</em></button>`).join(""""):`<div class=""uep-empty-state uep-empty-program""><span class=""uep-empty-icon"">♧</span><div><b>오늘 운영되는 프로그램이 없습니다.</b><small>방학 중에는 예정 프로그램이 없을 수 있습니다.</small></div><footer><em>연결 프로그램 ${connectedCount}건</em><button data-page=""programs"">전체 프로그램 ›</button></footer></div>`}</div>`; } function dashboardCompactNoticesMarkup(){ const connected=Array.isArray(readonlyCache?.notices)?readonlyCache.notices:[]; const local=workBoardData(""notice"").filter(workItemVisibleToCurrentUser); const rawSource=[...local,...(connected.length?connected:(state.gradeNotices||[]))]; const source=rawSource.filter(item=>String(item?.title||"""").trim()!==""방학식 학생 안내 확인""); const rows=source.slice(0,4);"
"dashboardStudentStatusMarkup","7799","1","return `<div class=""uep-student-status-compact"">${items.map(([kind,label,value,cls])=>`<button class=""${cls}"" data-dashboard-student-status=""${kind}"" title=""${label} 상세보기""><span>${label}</span><b>${value}</b></button>`).join('')}</div>`; } function dashboardStudentStatusMarkup(){ const todayKey=dateKey(today);"
"workItemReadByCurrentUser","7955","1","return [""교감"",""교장"",""행정실""].some(role=>audience.includes(role)&&ctx.role.includes(role)); } function workItemReadByCurrentUser(item){return Array.isArray(item?.readBy)&&item.readBy.includes(currentWorkAudienceContext().name);} function noticeTargetClasses(item){ const target=String(item?.targetClass||""전체"");"
"dashboardTopAlertsMarkup","8013","1","}).filter(x=>x.priority>0).sort((a,b)=>b.priority-a.priority).slice(0,8); } function dashboardTopAlertsMarkup(){ const alerts=dashboardWorkAlerts(); if(!alerts.length)return `<section class=""uep-top-alerts is-clear""><button data-open-work-alerts><span>🔔</span><b>새 학교업무 공지 없음</b><small>오늘의 학교업무·공지에서 확인할 내용을 표시합니다.</small><em>확인 ›</em></button></section>`;"
"completionStatusMarkup","8066","1","return (DUTY_ASSIGNMENTS||[]).some(row=>String(row?.department||'').trim()==='1학년부'&&String(row?.role||'').trim()==='부장'&&String(row?.person||'').trim()===name); } function completionStatusMarkup(item){ const required=(Array.isArray(item?.requiredClasses)&&item.requiredClasses.length?item.requiredClasses:['1-1','1-2','1-3','1-4','1-5','1-6','1-7','1-8','1-9']).map(String); const completed=(Array.isArray(item?.confirmedClasses)?item.confirmedClasses:Array.isArray(item?.completedClasses)?item.completedClasses:[]).map(String);"
"openStudentCounselEdit","8261","1","}; } function openStudentCounselEdit(recordId){ const record=(readonlyCache?.counselRecords||[]).find(row=>String(row.id)===String(recordId))||(state.growthCounselRecords||[]).find(row=>String(row.id)===String(recordId)); if(!record)return toast('상담 기록을 찾지 못했습니다.');"
"todayProgramsMarkup","8394","1","return `<button class=""dashboard-program-row program-area-${programAreaKind(p)}"" data-program=""${escapeHtml(p.id)}""><time>${escapeHtml(p.time||""종일"")}</time><span><b>${escapeHtml(p.actualTitle||p.title)}</b><small>${programAreaLabel(p)} · ${escapeHtml(p.place||""장소 확인"")}</small></span><em>${Array.isArray(p.students)?p.students.length:0}명 ›</em></button>`; } function todayProgramsMarkup(){ const {selection,after}=todayProgramCollections(); return `<article class=""card program-card dashboard-program-board widget-configurable"" ${widgetAttrs(""programs"")}><div class=""card-head""><div><span class=""card-icon ci-coral"">♧</span><strong>오늘의 프로그램</strong></div><div class=""head-actions""><button data-program-sheet>시트 연결</button><button data-program-add>＋ 등록</button><button data-widget-settings=""programs"">⚙</button></div></div><div class=""dashboard-program-columns""><section><header><div><small>SELECTED PROGRAM</small><h3>공통·선택프로그램</h3></div><span>${selection.length}건</span></header><div>${selection.length?selection.map(p=>dashboardProgramItem(p,""selection"")).join(""""):'<div class=""program-empty compact"">오늘 진행되는 공통·선택프로그램이 없습니다.</div>'}</div></section><section><header><div><small>AFTER SCHOOL</small><h3>방과후·야간심화</h3></div><span>${after.length}건</span></header><div>${after.length?after.map(p=>dashboardProgramItem(p,""after"")).join(""""):'<div class=""program-empty compact"">오늘 진행되는 방과후·야간심화수업이 없습니다.</div>'}</div></section></div><div class=""widget-source-footer program-source"">출처: 선택활동 DB · 방과후 수업 · 야간심화 · 41_학교캘린더</div></article>`;"
"canRevealStudentSensitiveInfo","8434","1","return {grade:directGrade||1,classNo:directClass||Number(digits)||0}; } function canRevealStudentSensitiveInfo(){"
"signalRowsForStudent","8440","1","return /관리자|학년부장|학년총무|담임/.test(role); } function signalRowsForStudent(student){ const id=String(student?.id||student?.studentNo||''); const no=String(student?.studentNo||'');"
"openMealDutyDrawer","8453","1","return String(value).replace(/[&<>'""]/g, (ch) => ({ ""&"": ""&amp;"", ""<"": ""&lt;"", "">"": ""&gt;"", ""'"": ""&#39;"", '""': ""&quot;"" })[ch]); } function openMealDutyDrawer(){"
"retryGoogleConnection","9109","1","render(""dashboard""); } async function retryGoogleConnection() { if (!window.schoolBoard?.previewReadonlySync) return navigate(""settings"");"
"openStudentTimetableDrawer","9205","1","period.textContent = schoolPeriodStatus(now).label; } function openStudentTimetableDrawer() { $(""#drawerKicker"").textContent = ""STUDENT TIMETABLE"";"
"studentActivityOverview","9217","1","studentPopupClockTimer=setInterval(updateStudentPopupClock,1000); } function studentActivityOverview(student) { const matches=(item)=>String(item?.studentId||"""")===String(student.id||"""") || (student.studentNo && String(item?.studentNo||item?.number||"""")===String(student.studentNo)); const connected=(readonlyCache?.programs||[]).map(programWithOverride).filter(program=>studentRecordWithinEnrollment(program,student)&&(program.students||[]).some(matches));"
"sortUniversitiesByPriority","9355","1","return index<0?999:index; } function sortUniversitiesByPriority(names){ return names.slice().sort((a,b)=>universityPriorityIndex(a)-universityPriorityIndex(b)||String(a).localeCompare(String(b),'ko')); }"
"admissionPairCompatible","9425","1","return {ok:false,reason:'동일 전형 근거 부족'}; } function admissionPairCompatible(cut,rule){return admissionPairCompatibility(cut,rule).ok;} function strictAdmissionCutLimit(value){ if(value===null||value===undefined||value==='')return null;"
"studentStatsRankCard","9555","1","}; } function studentStatsRankCard(title,subtitle,metric,rows,valueFn,metaFn){ const top=rows.slice(0,10); return `<section class=""student-stat-rank-card""><div class=""student-stat-card-head""><div><h3>${escapeHtml(title)}</h3><p>${escapeHtml(subtitle)}</p></div></div><div class=""student-stat-rank-list"">${top.length?top.map((row,i)=>`<button type=""button"" class=""student-stat-rank-row"" data-stat-student=""${escapeHtml(row.student.id||'')}"" data-stat-metric=""${metric}""><em>${i+1}</em><span><b>${escapeHtml(row.student.studentNo||'')} ${escapeHtml(row.student.name||'')}</b><small>${escapeHtml(classNumberOf(row.student)||'-')}반 · ${escapeHtml(metaFn(row))}</small></span><strong>${escapeHtml(valueFn(row))}</strong></button>`).join(''):'<div class=""query-empty""><b>집계 자료가 없습니다.</b></div>'}</div></section>`;"
"sendProgramEmailNotice","10964","1","return (program.students||[]).map(item=>masters.find(s=>String(s.id)===String(item.studentId)||String(s.studentNo)===String(item.studentNo||item.number))||item); } function sendProgramEmailNotice(program){ const recipients=[...new Set(programStudentMasters(program).map(s=>String(s.email||"""").trim()).filter(v=>v&&v!==""-""&&/@/.test(v)))]; if(!recipients.length)return toast(""학생 이메일이 연결된 출석부 인원가 없습니다."");"
"prepareProgramSmsNotice","10972","1","toast(`${recipients.length}명의 메일 발송 화면을 열었습니다.`); } async function prepareProgramSmsNotice(program){ const rows=programStudentMasters(program).map(s=>`${s.studentNo||""""}\t${s.name||""""}\t${s.phone&&s.phone!==""-""?s.phone:""연락처 없음""}`); const text=`${programNoticeText(program)}\n\n[출석부 인원]\n${rows.join(""\n"")}`;"
"openProgramAttendanceQr","10977","1","try{await navigator.clipboard.writeText(text);toast(""문자 발송용 안내문과 출석부 인원 연락처를 복사했습니다."");}catch{toast(""클립보드 복사에 실패했습니다."");} } function openProgramAttendanceQr(program){ const payload=`UEP|PROGRAM|${program.programId||program.id}|${program.date||""""}|${program.actualTitle||program.title||""""}`; const url=`https://quickchart.io/qr?size=420&text=${encodeURIComponent(payload)}`;"
"copyProgramRiroNotice","11022","1","const table=`<table>${rows.map(row=>`<tr>${row.map(cell=>`<td>${xmlEscape(cell)}</td>`).join("""")}</tr>`).join("""")}</table>`; const blob=new Blob([`\ufeff<html><head><meta charset=""utf-8""></head><body>${table}</body></html>`],{type:""application/vnd.ms-excel;charset=utf-8""}); const link=document.createElement(""a""); link.href=URL.createObjectURL(blob); link.download=`${safeFileName(`${report.studentNo||student?.studentNo||""""}_${report.programName||""학생보고서""}`)}.xls`; link.click(); setTimeout(()=>URL.revokeObjectURL(link.href),1000); } async function copyProgramRiroNotice(program){ const text=`${programNoticeText(program)}\n\n※ 대상 학생은 반드시 프로그램 참여 여부와 보고서 작성 여부를 확인하기 바랍니다.`; try{await navigator.clipboard.writeText(text);toast(""리로스쿨 게시용 안내문을 복사했습니다."");}catch{toast(""클립보드 복사에 실패했습니다."");}"
"copyProgramIndividualNotices","11026","1","try{await navigator.clipboard.writeText(text);toast(""리로스쿨 게시용 안내문을 복사했습니다."");}catch{toast(""클립보드 복사에 실패했습니다."");} } async function copyProgramIndividualNotices(program){"
"copyProgramFamilyLetter","11037","1","return [`[가정통신문] ${title} 운영 안내`,`학부모님 안녕하십니까.`,`${title} 운영과 관련하여 다음과 같이 안내드립니다.`,``,`1. 일시: ${program.date||""미정""} ${program.time||""""}`,`2. 장소: ${program.place||""미정""}`,program.subject?`3. 교과: ${program.subject}`:"""",program.department?`4. 담당부서: ${program.department}`:"""",program.teacher?`5. 담당교사: ${program.teacher}`:"""",program.memo?`6. 안내사항: ${program.memo}`:"""",program.reportFormUrl?`7. 보고서 제출: ${program.reportFormUrl}`:"""",``,`학생이 안전하고 성실하게 참여할 수 있도록 협조 부탁드립니다.`].filter(Boolean).join(""\n""); } async function copyProgramFamilyLetter(program){ try{await navigator.clipboard.writeText(programFamilyLetterText(program));toast(""리로스쿨 단체 가정통신문을 복사했습니다."");}catch{toast(""클립보드 복사에 실패했습니다."");} }"
"uepCompareSelectionHistory","12356","1","return String(row.round??row['신청차수']??row['신청구분']??'').trim(); } function uepCompareSelectionHistory(rows=[]){ const byStudent=new Map(); for(const row of rows){"
